indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Azerbaijan,AZE,"10,000,000","82,629",33.7,-,0.757,5.15,51.1,165.5,"17,439",1.1,6.7,"1,191",2.6,208,13,5.1,59.4,36.8,7,6,-0.76,-0.2,-0.3,-0.56,-0.88,36.8,39.9,53.6,87.5,64.3,60,16.8
Bahamas,BHS,"400,000","10,010",-,-,0.807,-,60.4,9,"24,555",0.5,7.4,"1,699",-,-,-,15.3,82.9,23.8,1,1,1,0.6,0.1,0.19,1.17,53.5,50.9,46.5,96.5,63.3,60,12.8
Bahrain,BHR,"1,300,000",760,-,-,0.846,6.23,63.9,66.9,"50,704",3.2,5.2,"2,453",2.5,616,-,1.3,66.4,33.4,7,6,-0.95,0.2,0.4,0.45,-0.14,55.1,51.8,62.1,99.9,67.7,80,7.5
Bangladesh,BGD,"165,000,000","130,170",32.1,38.4,0.608,4.31,35.3,628.4,"3,891",6.4,2.6,88,-,-,10,4.1,94.2,13.9,4,4,-1.25,-0.7,-0.8,-0.67,-0.83,32.6,21.2,32.4,72.7,55.1,30,20.3
Barbados,BRB,"300,000",430,-,-,0.8,-,60.8,4.8,"17,100",0.5,7.5,"1,234",6.2,"1,013",15,11.4,39.3,45,1,1,0.98,0.8,0.5,0.66,1.42,54.4,53.8,51.4,74,57,60,16.7
Belarus,BLR,"10,000,000","202,900",26.5,21.7,0.808,5.55,59.9,171,"18,000",-3.9,6.1,"1,085",4.8,401,16,0.5,47.9,41.7,6,6,0.03,-0.4,-0.7,-0.82,-0.26,57.3,42,53.5,89.8,58.1,10,34.5
Belgium,BEL,"11,000,000","30,278",25.9,23.7,0.916,6.93,77.5,509.5,"45,047",1.4,10.5,"4,782",6.6,"3,124",20,8.3,12.1,54.1,1,1,0.42,1.2,1.2,1.34,1.5,69.5,70.9,81.2,44,67.5,70,38
Belize,BLZ,"400,000","22,806",-,33.8,0.708,-,48.5,3.1,"8,220",1.5,6.2,524,6.5,314,13,11,65.5,33.9,1,2,0.05,-0.6,-0.5,-0.96,-0.27,53.5,34.7,42.1,80,57.1,50,9.4
Benin,BEN,"11,000,000","110,622",36.5,13.4,0.515,4.85,34.5,23.6,"2,119",5.2,4,84,4.3,41,12,1,85.6,21.9,2,2,0.05,-0.6,-0.5,-0.62,-0.55,31.3,30.2,35.5,67.4,56.7,50,7.2
Bhutan,BTN,"800,000","38,394",38.8,28.6,0.612,-,47.7,6.5,"8,227",7.7,3.5,287,5.9,148,13,2.4,72.2,30.5,3,4,1.13,0.6,-0.3,0.63,1.57,51.6,50.9,60.9,83,61.8,30,8.5
Bolivia,BOL,"11,000,000","1,083,301",47,23.3,0.693,5.65,44.8,78.7,"7,219",4.8,6.4,446,7.3,228,-,3.7,46.5,42.2,3,3,-0.3,-0.4,-0.9,-1.21,-0.66,11.4,23.1,19,85.7,44.1,40,53.1
Bosnia and Herzegovina,BIH,"3,900,000","51,187",33.8,25.3,0.768,5.09,50.2,42.2,"10,958",2.8,9.4,"1,102",-,-,14,25.8,41.5,44.1,4,4,-0.38,-0.5,-0.2,-0.21,-0.52,43.7,28.4,39.5,83.5,61.4,60,21.4
Botswana,BWA,"2,200,000","566,730",60.5,16.6,0.717,3.5,44.1,36.7,"17,042",-0.3,6,970,-,-,13,18.4,63.4,34.9,3,2,1.03,0.4,0.5,0.51,0.8,54.7,56.6,57.7,76.1,69.9,70,9.5
Brazil,BRA,"209,000,000","8,358,140",49,34.3,0.759,6.33,51.6,3141.3,"15,242",-3.8,8.9,"1,392",5.9,715,15,11.5,50.7,40.5,2,2,-0.41,-0.3,-0.1,-0.28,-0.53,55.5,31.4,55.8,70.6,51.4,50,10.7
Brunei,BRN,"400,000","5,265",-,-,0.853,-,72.5,32.5,"76,884",-0.2,2.6,"2,083",3.4,"1,393",15,2,57.7,37.5,6,5,1.19,1.1,0.7,0.65,0.71,57.1,45.4,56.6,85.6,64.2,50,9.1
Bulgaria,BGR,"7,000,000","108,489",40.2,20.4,0.813,-,59.9,144.6,"20,327",3,8.2,"1,492",-,-,15,8,60.5,36.3,2,2,0.37,0.3,0.6,-0.04,-0.16,42.5,38.2,63.6,90.9,68.3,60,23.8
Burkina Faso,BFA,"19,000,000","273,800",39.5,17.9,0.423,4.65,33.4,32.8,"1,782",4,5.4,96,4.6,32,8,3,83.7,23.3,4,3,-0.92,-0.6,-0.4,-0.4,-0.11,47.1,31.8,42.1,80.6,60,40,11
Burundi,BDI,"11,000,000","25,680",42.4,15.6,0.417,-,28.3,7.9,814,-4.1,8.2,64,-,-,11,1.6,78.6,26.7,7,6,-1.97,-1.3,-0.8,-1.4,-1.28,21.7,26.2,17.6,71,50.9,30,36.4
Cabo Verde,CPV,"500,000","4,033",-,-,0.654,-,-,3.5,"6,662",1.8,4.9,310,5,175,13,10.5,71.5,30.8,1,1,0.9,0.2,-0.2,0.41,0.84,52,42.8,42.1,74,60,60,23.6
Cambodia,KHM,"16,000,000","176,515",37.9,25.6,0.582,4.59,38.5,59,"3,737",6.9,6,210,1.9,21,11,0.3,86.5,21.2,6,5,0.17,-0.7,-0.5,-1.06,-1.29,24.5,17.7,36,89.8,58.7,50,20.3
Cameroon,CMR,"24,000,000","472,710",44.6,16.7,0.556,5.07,32.1,76.9,"3,249",5.9,5.1,163,-,-,12,4.5,86.1,21.6,6,6,-1.08,-0.8,-0.8,-1.02,-1.18,29.4,23.4,40.6,73.7,51.9,50,31.1
Canada,CAN,"37,000,000","9,093,507",32.1,23.9,0.926,-,76.9,1682.4,"46,437",1.2,10.4,"4,600",-,-,-,7.1,52.3,39.9,1,1,1.11,1.9,1.9,1.8,1.92,77.1,78.3,87.5,76.7,77.7,80,26.3
Central African Republic,CAF,"4,900,000","622,984",43.6,-,0.367,3.48,16.1,3.2,652,4.3,4.8,32,-,-,7,6.9,94.6,13.4,7,7,-1.94,-1.8,-1.5,-1.73,-1.17,28.2,24.6,17.9,64.6,49.2,30,8.6
Chad,TCD,"15,000,000","1,259,200",43.3,12.8,0.404,4.56,20.4,29,"2,445",1.8,4.6,100,-,-,7,5.8,90.5,17.7,7,6,-1.34,-1.5,-1.2,-1.3,-1.43,24.1,23.1,25.1,44.8,49.3,40,12.8
Chile,CHL,"18,000,000","743,812",50.5,31.7,0.843,6.32,62.6,438.8,"24,113",2.1,8.1,"1,903",4.7,699,16,6.6,81.3,25,1,1,0.38,0.9,1.3,1.01,1.04,63.4,61.2,67.9,78,75.2,70,15.8
China,CHN,"1,386,000,000","9,326,410",46.5,25.7,0.752,5.1,50.8,21291.8,"15,399",6.9,5.3,762,-,-,14,4.6,71.6,30.7,7,6,-0.25,0.4,-0.2,-0.26,-0.27,65.4,47.3,46.7,70.4,57.8,20,24.2
Colombia,COL,"49,000,000","1,038,700",51.1,40.7,0.843,6.16,49.1,688.8,"14,130",3.1,6.2,853,4.7,369,14,9.9,74.4,29.2,3,3,-0.79,-0.1,0.3,-0.36,-0.37,36.4,33.4,60.7,80.3,68.9,70,18.7
Comoros,COM,"800,000","2,235",55.9,23.1,0.752,-,-,1.3,"1,529",1,8,121,4.9,41,11,20,77.8,27.2,3,4,0.03,-1.6,-1,-1.05,-0.68,28.2,27.5,36.7,59.7,56.2,30,6.1
Congo (Dem. Rep.),COD,"81,000,000","2,267,048",42.1,-,0.457,4.31,24.8,65,773,7.7,4.3,34,-,-,9,3.6,94.8,13.2,7,6,-2.3,-1.6,-1.5,-1.69,-1.42,23.9,27.3,24.1,73.2,52.1,20,8.9
Congo (Rep.),COG,"4,500,000","341,500",48.9,18.8,0.606,4.88,32.7,29.8,"6,676",2.5,3.4,203,-,-,11,11.2,33.4,47.1,7,5,-0.53,-1.2,-1.3,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,30,11.3
Costa Rica,CRI,"4,900,000","51,060",48.5,44.7,0.794,7.23,58.9,80.7,"16,436",3.7,8.1,"1,286",6.9,729,15,9,88.9,19.3,1,1,0.51,0.3,0.5,0.45,0.47,57.8,51.8,54.8,79.3,65.6,50,35.1
Cote d'Ivoire,CIV,"24,000,000","318,003",41.5,14.4,0.794,5.04,30.5,87.8,"3,609",8.6,5.4,190,4.6,72,9,9.3,84.6,22.6,4,4,-1.09,-0.7,-0.4,-0.63,-0.52,44.2,36.6,39.4,76.4,62,50,10.6
Croatia,HRV,"4,200,000","55,974",30.8,30.2,0.831,5.34,64.5,95.1,"22,795",1.6,7.4,"1,656",-,-,15,13.5,32.5,47.4,1,2,0.75,0.6,0.4,0.33,0.19,56.5,40.5,65.9,66,61,60,18.5
Cuba,CUB,"11,000,000","109,820",-,-,0.777,-,-,142,"12,390",4.3,-,-,-,-,14,2.9,0,62.4,7,6,0.69,-0.2,-1.3,-0.43,0.27,10,38.1,29.7,49,31.9,10,48.9
Cyprus,CYP,"800,000","9,241",34.8,30.7,0.869,6.06,65.9,29.7,"34,970",1.6,6.8,"2,137",-,-,15,11.7,52.9,39.6,1,1,0.6,0.9,1,0.88,0.78,56.7,41.3,71.2,75.2,67.8,60,17.9
Czech Republic,CZE,"11,000,000","77,247",-,27.3,0.888,6.79,71.1,350.7,"33,232",4.2,7.3,"2,470",-,-,17,4,48.6,41.4,1,1,1.02,1,1.2,1.12,0.57,57.9,51.1,73,82.9,74.2,80,20
Denmark,DNK,"6,000,000","42,434",29,32.7,0.929,7.59,82,273.9,"47,985",1.2,10.3,"5,083",-,-,19,6.1,10.6,54.6,1,1,0.87,1.8,1.6,1.86,2.19,83.6,84.1,84.8,41.4,76.6,80,37.4
Djibouti,DJI,"1,000,000","23,180",40.9,16.4,0.476,-,-,3.3,"3,370",6.5,4.4,147,-,-,6,6.6,27.2,49.3,6,5,-0.71,-1,-0.6,-0.91,-0.64,13.8,29,19,69.8,45.1,50,10.8
Dominica,DMA,"100,000",751,-,-,0.715,-,-,0.8,"11,375",-4.3,5.4,586,-,-,-,-,64.8,34.2,1,1,1.04,-0.3,0.1,0.65,0.65,69.2,49.9,48.6,72.9,64.5,30,25
Dominican Republic,DOM,"11,000,000","48,320",47.1,30.3,0.736,5.61,48.1,161.8,"16,050",7,6.2,873,-,-,13,14.4,90.6,17.7,3,3,0.16,-0.4,-0.1,-0.42,-0.74,23.1,26.2,51.7,84.6,61.6,40,26.8
Ecuador,ECU,"17,000,000","276,841",45.9,37,0.752,5.84,48.1,183.6,"11,109",0,6.8,980,-,-,15,5.4,52.5,39.8,3,3,-0.1,-0.3,-1,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,40,38
Egypt,EGY,"98,000,000","995,450",31.8,23.8,0.696,3.93,43.1,1132.4,"12,554",4.2,7.3,495,-,-,13,12,65.1,34.1,6,6,-1.42,-0.6,-0.9,-0.53,-0.54,52.5,32.2,32.7,84.2,53.4,50,14.9
El Salvador,SLV,"6,000,000","20,721",36,35.6,0.674,6.34,47.2,54.8,"8,909",2.4,10.3,578,3.4,124,13,6.3,86.3,21.3,2,3,-0.25,-0.4,-0.2,-0.86,-0.51,35.4,25.2,37.3,78.9,63.2,60,32.1
Equatorial Guinea,GNQ,"800,000","28,051",-,-,0.591,-,-,31.7,"38,639",-12.2,4.4,790,-,-,-,7.3,61,36.1,7,7,-0.15,-1.4,-1.4,-1.49,-1.83,17.6,26.2,29.8,69.6,42,30,24
Eritrea,ERI,"5,000,000","101,000",-,-,0.44,-,-,9.2,"1,410",4.8,5.4,56,-,-,5,7.3,75.6,28.5,7,7,-0.66,-1.7,-2.2,-1.56,-1.2,13.8,23.4,35.5,79.9,41.7,20,22
Estonia,EST,"1,300,000","42,388",34.8,17.9,0.871,5.94,70.8,38.5,"29,313",1.1,6.2,"1,887",-,-,16,6.9,52.6,39.8,1,1,0.66,1.1,1.6,1.28,1.24,83.9,75.7,80.4,80.7,78.8,80,26.7
Eswatini,SWZ,"1,100,000","17,204",50.4,15.5,0.588,-,-,11.1,"9,776",1.7,7,-,-,-,11,25.3,65.2,34.1,7,6,-0.3,-0.6,-0.6,-0.29,-0.3,35.3,26.9,55.3,74.8,55.9,40,6.2
Ethiopia,ETH,"105,000,000","1,000,000",33,26.7,0.463,4.18,32.3,177.5,"1,946",10.2,4,66,-,-,8,5.7,90.6,17.7,7,6,-1.69,-0.7,-1,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,20,38.8
Fiji,FJI,"900,000","18,274",-,-,0.741,-,49,8.3,"9,268",4.3,3.6,331,-,-,-,7.9,68.2,32.6,3,3,0.79,0.1,-0.2,-0.25,0.36,47.1,34.8,68.3,81.4,62,50,16
Finland,FIN,"6,000,000","303,815",27.2,31.3,0.92,7.79,81.3,231.4,"42,165",0.4,9.4,"3,669",7.2,"3,570",19,9,2.3,57.1,1,1,1.07,1.9,1.8,2.03,2.22,82.7,89.8,89,66.5,74.1,80,42
France,FRA,"67,000,000","549,970",29.3,30.4,0.901,6.64,73.9,2733.7,"42,314",1.1,11.1,"4,542",5.5,"2,373",16,10,2.7,57,1,2,0.21,1.4,1.2,1.44,1.26,72.7,65.1,84,47.3,63.9,70,39
Gabon,GAB,"1,900,000","257,667",42.2,17.5,0.702,4.78,40.9,35.9,"19,057",4,2.7,481,-,-,-,18.5,84.6,22.6,7,5,-0.09,-0.9,-0.8,-0.68,-0.81,27.8,33.4,29.9,74.3,58,40,17.1
"Gambia, The",GMB,"2,100,000","10,120",50.2,-,0.46,-,-,3.4,"1,667",4.4,6.6,-,-,-,9,29.7,74,29.4,4,5,-,-,-,-,-,38.8,36.8,34.4,71.9,52.3,50,10.3
Georgia,GEO,"3,700,000","69,700",40.1,31.1,0.78,4.45,55.4,37.2,"10,044",2.8,7.9,718,-,-,15,11.6,73.3,29.8,3,3,-0.37,0.6,1.1,0.33,0.74,64.2,61.8,62.8,87,76.2,60,16
Germany,DEU,"83,000,000","348,672",27,29.8,0.936,7.07,79.6,3980.3,"48,111",1.5,11.2,"5,357",4.9,"2,369",17,4.3,41.3,44.2,1,1,0.58,1.7,1.8,1.61,1.84,78,75.3,81,61.3,74.2,70,37
Ghana,GHA,"29,000,000","227,533",42.3,21.4,0.592,5.48,40.2,121.7,"4,412",3.5,5.9,249,6.2,89,12,5.8,79,26.5,1,2,0.09,-0.1,-0.1,0.13,-0.23,43.7,32.9,48.9,83.5,56,60,12.7
Greece,GRC,"11,000,000","130,647",36.7,23.6,0.87,5.15,64.1,289.4,"26,669",-0.2,8.4,"2,204",-,-,18,23.9,20.9,51.3,2,2,-0.13,0.3,0.2,0.08,-0.14,59,37.9,52.3,60.4,57.3,40,18.3
Grenada,GRD,"108,000",344,-,-,0.772,-,-,-,-,-,5,677,-,-,17,-,-,-,1,2,1.03,-0.2,-0.1,0.44,0.48,-,-,-,-,-,-,33.3
Guatemala,GTM,"17,000,000","107,159",53,34.2,0.65,6.33,42.5,131.7,"7,899",4,5.7,444,2.9,108,11,2.4,95.3,12.5,4,4,-0.57,-0.6,-0.3,-1.06,-0.74,33.1,27.3,40.4,79.2,63.4,50,12.7
Guinea,GIN,"13,000,000","245,717",39.4,-,0.459,4.87,28.3,16,"1,265",0.1,4.5,57,2.4,18,9,6.8,80.6,25.4,5,5,-0.61,-1,-0.8,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,40,21.9
Guinea-Bissau,GNB,"1,700,000","28,120",-,-,0.455,-,-,2.9,"1,730",4.8,6.9,100,-,-,-,6.5,85.6,21.9,5,5,-0.6,-1.8,-1.2,-1.44,-1.56,53.5,27.3,31.1,86.4,56.9,30,13.7
Guyana,GUY,"800,000","196,849",44.6,-,0.654,-,42.8,6,"7,873",3,4.5,336,-,-,10,11.4,70.8,31.2,2,3,-0.04,-0.3,-0.4,-0.29,-0.51,42.5,34.8,42.1,68.4,58.7,30,31.9
Haiti,HTI,"11,000,000","27,560",60.8,28.6,0.498,3.82,24.2,19.4,"1,784",1,6.9,120,-,-,-,13.2,85.6,21.9,5,5,-0.7,-2.1,-1.3,-1.09,-1.24,42.5,24.6,25.1,80.1,55.8,30,2.5
Honduras,HND,"9,000,000","111,890",47.1,27.2,0.617,6.02,41.9,43.2,"5,272",3.6,7.6,353,-,-,11,6.3,76.6,27.9,4,4,-0.55,-0.5,-0.4,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,60,25.8
Hungary,HUN,"10,000,000","89,608",28.2,26.4,0.838,6.07,66.1,270.3,"27,482",2.9,7.2,"1,912",4.6,658,15,5.2,29.4,48.5,3,2,0.81,0.5,0.7,0.53,0.09,57.1,36.4,57.6,78.6,66.7,70,10.1
Iceland,ISL,"300,000","100,250",28,31.1,0.935,7.48,83.7,16.5,"49,136",4,8.6,"4,116",-,-,20,3.8,44.2,43.1,1,1,1.37,1.5,1.4,1.61,1.84,72.6,77.3,86.7,72.1,77,70,47.6
India,IND,"1,339,000,000","2,973,193",35.2,29.2,0.64,4.05,40,8662.4,"6,616",7.3,3.9,238,-,-,12,3.5,77.7,27.3,2,3,-0.83,0.1,-0.3,0,-0.24,54.3,47.2,55.4,79.4,54.5,40,11.8
Indonesia,IDN,"264,000,000","1,811,569",36.8,35.7,0.694,5.1,46.4,3032.1,"11,720",4.8,3.3,369,3.3,115,13,5.6,90.7,17.6,2,4,-0.51,0,-0.1,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,60,19.8
Iran,IRN,"81,000,000","1,531,595",44.5,24,0.798,4.72,48,1454.5,"18,078",0,7.6,"1,262",2.8,155,15,11.3,91.1,17.2,6,6,-0.93,-0.2,-1.2,-0.68,-0.81,35.3,32.6,32.5,81,50.9,10,5.9
Iraq,IRQ,"38,000,000","437,367",-,26.5,0.685,4.46,37,647.2,"17,944",2.4,3.4,481,-,-,-,16,45.4,42.7,5,6,-2.33,-1.3,-1.2,-1.64,-1.37,11.4,23.4,36.7,-,-,-,25.3
Ireland,IRL,"4,700,000","68,883",31.3,30,0.938,7.06,80.3,324.9,"69,231",7.8,7.8,"5,335",-,-,19,8.1,69.6,31.9,1,1,1.02,1.3,1.6,1.43,1.55,79,79,87.7,76.1,80.4,70,22.2
Israel,ISR,"9,000,000","20,330",42.8,28.8,0.903,7.33,66.5,300.6,"35,179",2.6,7.4,"2,819",5.7,"2,154",16,5.6,51.8,40.1,1,3,-0.88,1.4,1.3,1.02,0.83,83.1,61.2,78.2,60.9,72.2,70,27.5
Italy,ITA,"61,000,000","294,140",31.9,28.1,0.88,6.2,69.1,2234.5,"36,833",0.8,9,"3,351",4.1,"1,443",16,11.5,24.1,50.3,1,1,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,50,31
Jamaica,JAM,"2,800,000","10,831",35,36.9,0.732,5.89,49.7,25.4,"8,976",1.1,5.9,511,6,292,-,13.3,77.2,27.6,2,3,0.25,0.5,0.1,-0.16,-0.17,56.6,39.4,60.9,80,69.1,50,17.5
Japan,JPN,"127,000,000","364,485",37.9,28.3,0.909,5.91,75.2,5237.8,"41,275",0.5,10.9,"4,405",3.6,"1,368",15,3.1,54.1,39.1,1,1,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86,67.4,72.3,60,9.3
Jordan,JOR,"10,000,000","88,802",39.7,-,0.735,4.81,48.7,85.6,"12,278",2.5,6.3,568,-,-,13,13.2,69.4,32,5,5,-0.53,0.1,0.1,0.26,1.17,57.3,51.9,57.6,92.4,64.9,60,15.4
Kazakhstan,KAZ,"18,000,000","2,699,700",26.3,19.1,0.8,5.88,57.7,451.3,"25,145",1.2,3.9,903,-,-,15,5.2,85.3,22.2,7,5,0.02,0,0.2,-0.41,0.26,58.1,44.6,56,92.6,69.1,50,27.1
Kenya,KEN,"50,000,000","569,140",48.5,24.2,0.59,4.48,35.4,152.8,"3,361",5.6,5.2,157,5.3,70,11,11,77.5,27.4,4,4,-1.08,-0.3,-0.2,-0.41,-0.82,44,27.5,47.9,78.5,54.7,50,21.8
Kiribati,KIR,"100,000",811,-,-,0.612,-,-,0.2,"1,823",4.2,7.6,152,-,-,12,-,0,117.6,1,1,0.9,-0.3,-0.8,0.53,-0.96,35.3,37.9,45,72.4,50.8,30,6.5
Korea (Dem. People’s Rep.),PRK,"25,000,000","120,408",-,-,-,-,-,15.1,-,1,-,-,-,-,11,4.3,0,-,7,7,-0.48,-1.7,-2.3,-1.71,0.39,5,25.2,29.8,0,5.8,0,16.3
Korea (Rep.),KOR,"51,000,000","96,920",35.7,24.8,0.903,5.87,-,1934,"37,740",2.6,7.4,-,5.1,"1,406",17,3.7,68.8,32.3,2,2,0.29,1.1,1.1,1.16,-1.48,63.7,49.9,79.4,73.3,73.8,70,17
Kosovo,-,"1,900,000","10,887",23.2,-,-,6.15,-,18.4,"9,600",3.3,-,-,-,-,-,-,77.9,27.1,3,4,-0.21,-0.4,-0.1,-0.42,0.48,59,45.4,52.3,93.2,66.6,30,-
Kuwait,KWT,"4,200,000","17,818",-,-,0.803,6.09,65.7,303.7,"71,887",0.9,4,"2,978",-,-,13,2.4,20.5,51.5,5,5,-0.04,-0.2,-0.1,0.1,-0.5,53.5,36.6,52,97.7,62.2,60,3.1
Kyrgyzstan,KGZ,"6,000,000","191,801",33.4,33.1,0.672,5.63,45.4,21.5,"3,521",3.5,8.2,287,5.5,71,13,7.7,58.2,37.3,5,5,-0.43,-0.7,-0.4,-0.93,-0.33,22.1,29.4,50.2,93.8,62.8,50,19.2
Laos,LAO,"7,000,000","230,800",36.7,-,0.601,4.62,37.8,40.9,"5,710",7,2.8,-,2.9,59,11,1.5,79.3,26.3,7,6,0.43,-0.4,-0.7,-0.88,-1.05,41.4,33.1,34.1,86.7,53.6,20,27.5
Latvia,LVA,"2,000,000","62,249",34.5,17.1,0.847,6.09,66.1,50.6,"25,710",2.7,5.8,"1,429",5.3,828,16,9.9,59,37,2,2,0.46,0.9,1.2,0.93,-0.94,58.9,45.4,68.3,84,73.6,60,16
Lebanon,LBN,"4,600,000","10,230",-,21.9,0.757,5.15,44.8,85.2,"18,525",1,7.4,"1,117",-,-,11,6.8,78.2,26.9,6,4,-1.59,-0.5,-0.3,-0.82,0.54,33.6,20.2,39.7,91.9,53.2,50,3.1
Lesotho,LSO,"1,900,000","30,355",63.2,16.7,0.52,-,29.5,7,"3,601",2.5,8.4,251,-,-,11,27.4,23.8,50.4,3,3,-0.25,-0.9,-0.3,-0.27,-1,52.7,32.9,49.4,48.2,53.9,40,22.9
Liberia,LBR,"4,400,000","96,320",32,22.2,0.435,4.42,30.6,3.8,855,0,15.2,128,-,-,-,4,59.4,36.8,3,3,-0.41,-1.4,-1,-0.97,-0.03,42.4,32,28.2,77.5,50.9,20,12.3
Libya,LBY,"6,000,000","1,759,540",-,-,0.706,5.65,-,55.4,"8,679",-6.4,-,-,-,-,-,19.2,0,92.9,7,6,-2.33,-1.8,-2.2,-1.78,-0.69,22.1,23.1,5.2,90.5,-,-,16
Liechtenstein,LIE,"38,000",160,-,-,0.916,-,-,6.1,"160,526",1.2,-,-,-,-,15,2.4,-,-,2,1,1.5,1.8,1.5,1.67,-1.59,-,-,-,-,-,80,12
Lithuania,LTU,"2,900,000","62,680",37.9,21,0.858,6.27,67.4,86.1,"29,972",1.6,6.5,"1,875",4.5,742,17,9.2,63.9,34.7,1,1,0.78,1,1.2,0.99,2.06,66.7,50.9,73.8,86.4,75.3,70,21.3
Luxembourg,LUX,"600,000","2,586",30.4,13.2,0.904,7.06,83.2,59.9,"104,003",4.5,6,"6,382",4,"4,762",14,5.9,48.5,41.4,1,1,1.34,1.7,1.7,1.74,0.55,77.9,79,82.7,65.1,76.4,80,28.3
Macedonia,MKD,"2,100,000","25,433",33.7,23.4,-,5.23,52.5,30.3,"14,597",3.7,6.1,857,-,-,13,26.7,70.3,31.5,4,3,-0.25,0.1,0.5,-0.24,1.99,57,47.4,64.8,91.6,71.3,60,34.2
Madagascar,MDG,"26,000,000","581,540",41,-,0.519,4.08,31.1,37.5,"1,505",3,5.2,77,-,-,11,2.1,92.9,15.4,3,4,-0.33,-1.1,-0.7,-0.86,-1.05,21.4,17.8,33.2,90.3,56.8,50,19.2
Malawi,MWI,"19,000,000","94,080",46.1,22.1,0.477,3.42,32.5,21.1,"1,135",3,9.3,108,4.8,17,11,6.7,70.7,31.3,3,3,-0.27,-0.7,-0.8,-0.37,-0.65,47.1,28.9,33.1,76.9,52,50,16.7
